name,manager_tenure,inception_date,asset_in_mil,turnover_rates,minimum_investment,load,net_expense_ratio,gross_expense_ratio
Calvert Global Energy Solutions Fund Class C (CGACX),20 years,$249.62,05/31/2007,45%,"$2,500",N,1.99%,2.29%
Spyglass Growth Fund Institutional Shares (SPYGX),20 years,"$2,655.30",12/29/2017,38%,"$100,000",N,1%,1.09%
Virtus AllianzGI Focused Growth Fund Institutional Class (PGFIX),20 years,"$1,508.82",02/24/1984,63%,"$1,000,000",N,0.67%,0.71%
Tocqueville Opportunity Fund (TOPPX),20 years,$111.23,08/01/1994,30%,"$2,500",N,1.26%,1.49%
Wasatch Global Opportunities Fund® Institutional Class (WIGOX),20 years,$281.43,11/17/2008,20%,"$100,000",N,1.35%,1.48%
RiverPark Large Growth Fund Class Institutional (RPXIX),20 years,$94.24,09/30/2010,53%,"$50,000",N,0.93%,0.93%
Fidelity® Emerging Asia Fund (FSEAX),20 years,"$2,001.32",04/19/1993,70%,$0,N,1.13%,1.13%
HCM Tactical Growth Fund Class A (HCMGX),20 years,"$1,194.20",07/30/2014,23%,"$2,500",Y,2.22%,2.22%
Marsico Focus Fund (MFOCX),20 years,$942.50,12/31/1997,45%,"$2,500",N,1.45%,1.49%
TCW Artificial Intelligence Equity Fund Class I (TGFTX),20 years,$18.90,08/31/2017,24.16%,"$2,000",N,0.9%,2.81%
Goldman Sachs Technology Opportunities Fund Class C (GITCX),20 years,$948.02,10/01/1999,41%,"$1,000",N,2.02%,2.19%
Principal MidCap Growth Fund Institutional Class (PGWIX),20 years,$337.25,12/06/2000,120.6%,"$1,000,000",N,0.75%,0.78%
Delaware Ivy Mid Cap Growth Fund Class A (WMGAX),20 years,"$8,102.40",06/30/2000,33%,"$2,500",Y,1.16%,1.17%
TCW Select Equities Fund Class N (TGCNX),20 years,"$1,003.40",02/26/1993,4.09%,"$2,000",N,0.99%,1.06%
Alger Weatherbie Specialized Growth FundClass C (ALMCX),20 years,"$1,778.48",05/08/2002,66.84%,"$2,500",N,2.03%,2.03%
Fidelity® Trend Fund (FTRNX),20 years,"$3,566.25",06/16/1958,45%,$0,N,0.73%,0.73%
Wells Fargo Endeavor Select Fund - Class A (STAEX),20 years,$315.52,12/29/2000,21%,"$1,000",Y,1.03%,1.26%
Baron Health Care Fund Institutional Shares (BHCHX),20 years,$233.96,04/30/2018,35.84%,"$1,000,000",N,0.85%,1.45%
TCW Artificial Intelligence Equity Fund Class N (TGJNX),20 years,$18.90,08/31/2017,24.16%,"$2,000",N,1%,3.83%
Rydex NASDAQ-100® Fund Class A (RYATX),20 years,"$1,950.43",02/14/1994,57%,"$2,500",Y,1.58%,1.58%
Harbor Disruptive Innovation Fund Investor Class (HIMGX),20 years,$347.55,11/01/2000,113%,"$2,500",N,0.94%,1.22%
Rydex NASDAQ-100® Fund Class H (RYHOX),20 years,"$1,950.43",02/14/1994,57%,"$2,500",N,1.59%,1.59%
Wasatch Global Opportunities Fund® Investor Class (WAGOX),20 years,$281.43,11/17/2008,20%,"$2,500",N,1.53%,1.53%
Dunham Focused Large Cap Growth Fund Class A (DAFGX),20 years,$208.12,12/08/2011,17%,"$5,000",Y,1.55%,1.55%
Artisan Global Discovery Fund Advisor Shares (APDDX),20 years,$353.63,08/21/2017,40.44%,"$250,000",N,1.31%,1.31%
OCM Gold Fund Investor Class (OCMGX),20 years,$68.77,02/04/1988,1%,"$2,500",Y,2.29%,2.29%
Artisan Global Discovery Fund Investor Shares (APFDX),20 years,$353.63,08/21/2017,40.44%,"$2,500",N,1.36%,1.36%
Goldman Sachs Small/Mid Cap Growth Fund Class A (GSMAX),20 years,"$3,649.20",06/30/2005,76%,"$1,000",Y,1.26%,1.31%
Eventide Gilead Class I (ETILX),20 years,"$5,599.90",07/08/2008,19%,"$100,000",N,1.18%,1.18%
RiverPark Large Growth Fund Class Retail (RPXFX),20 years,$94.24,09/30/2010,53%,"$2,500",N,1.23%,1.23%
Virtus AllianzGI Focused Growth Fund Class A (PGWAX),20 years,"$1,508.82",02/24/1984,63%,"$2,500",Y,0.95%,0.95%
William Blair Large Cap Growth Fund Class I (LCGFX),20 years,$981.06,12/27/1999,35%,"$500,000",N,0.65%,0.8%
Edgewood Growth Fund Class Institutional (EGFIX),20 years,"$33,792.43",02/28/2006,24%,"$100,000",N,1%,1.04%
Alger Mid Cap Growth Institutional Fund Class I (ALMRX),20 years,$118.24,11/08/1993,180.3%,"$2,500",N,1.35%,1.35%
Black Oak Emerging Technology Fund (BOGSX),20 years,$69.07,12/29/2000,22%,"$2,500",N,1.12%,1.12%
T. Rowe Price Science and Technology Fund (PRSCX),20 years,"$9,669.16",09/30/1987,65.9%,"$2,500",N,0.77%,0.77%
Baron Fifth Avenue Growth Fund Institutional Class (BFTIX),20 years,$892.71,04/30/2004,11.57%,"$1,000,000",N,0.75%,0.78%
Baron Health Care Fund Retail Shares (BHCFX),20 years,$233.96,04/30/2018,35.84%,"$2,500",N,1.1%,1.73%
BNY Mellon Technology Growth Fund Class C (DTGCX),20 years,$504.67,10/13/1997,54.26%,"$2,500",N,1.96%,1.96%
Delaware Smid Cap Growth Fund Class C (DEEVX),20 years,"$4,903.65",03/27/1986,79%,"$2,500",N,1.8%,1.8%
The Hartford Growth Opportunities Fund Class Y (HGOYX),20 years,"$8,086.20",02/19/2002,118%,"$2,500",N,0.82%,0.82%
Alger Focus Equity Fund Class Z (ALZFX),20 years,"$1,628.84",11/08/1993,99.52%,"$500,000",N,0.63%,0.63%
Janus Henderson Forty Fund Class I (JCAPX),20 years,"$21,637.48",05/01/1997,42%,"$2,500",N,0.74%,0.74%
The Hartford Growth Opportunities Fund Class I (HGOIX),20 years,"$8,086.20",02/19/2002,118%,"$2,500",N,0.82%,0.82%
Alger Mid Cap Growth Fund Class C (AMGCX),20 years,$339.28,05/24/1993,181.73%,"$2,500",N,2.1%,2.1%
Eventide Gilead Class N (ETGLX),20 years,"$5,599.90",07/08/2008,19%,"$2,500",N,1.38%,1.38%
Vanguard Growth Index Fund Admiral Shares (VIGAX),20 years,"$183,277.45",11/02/1992,6%,"$2,500",N,0.05%,0.05%
American Century Ultra® Fund C Class (TWCCX),20 years,"$22,177.15",11/02/1981,6%,$250,N,1.95%,1.97%
Eventide Gilead Class A (ETAGX),20 years,"$5,599.90",07/08/2008,19%,"$2,500",Y,1.43%,1.43%
Grandeur Peak Global Stalwarts Fund Institutional Class (GGSYX),20 years,$472.68,09/01/2015,50%,"$2,500",N,0.96%,0.96%
Franklin Gold and Precious Metals Fund Class A (FKRCX),20 years,"$1,297.82",05/19/1969,18.91%,"$1,000",Y,0.93%,0.93%
William Blair Large Cap Growth Fund Class N (LCGNX),20 years,$981.06,12/27/1999,35%,"$2,500",N,0.9%,1.09%
"Morgan Stanley Institutional Fund, Inc. Advantage Portfolio Class C (MSPRX)",20 years,"$1,000.81",06/30/2008,73%,"$2,500",N,1.86%,1.86%
Segall Bryant & Hamill Small Cap Growth Fund Institutional Class (WISGX),20 years,$235.82,12/20/2013,54%,"$250,000",N,0.97%,0.97%
Virtus KAR Capital Growth Fund Class I (PLXGX),20 years,$850.68,10/16/1995,4%,"$100,000",N,1.01%,1.01%
BlackRock Mid-Cap Growth Equity Portfolio Institutional Shares (CMGIX),20 years,"$19,529.95",12/27/1996,22%,"$2,000,000",N,0.8%,0.8%
Baron Fifth Avenue Growth Fund Retail Class (BFTHX),20 years,$892.71,04/30/2004,11.57%,"$2,500",N,1%,1.05%
Virtus KAR Capital Growth Fund Class A (PSTAX),20 years,$850.68,10/16/1995,4%,"$2,500",Y,1.23%,1.23%
Janus Henderson Forty Fund Class T (JACTX),20 years,"$21,637.48",05/01/1997,42%,"$2,500",N,0.92%,0.92%
T. Rowe Price Global Stock Fund (PRGSX),20 years,"$8,085.40",12/29/1995,112.7%,"$2,500",N,0.79%,0.79%
Wells Fargo Fundamental Small Cap Growth Fund - Class Admin (EGWDX),20 years,$196.79,06/05/1995,55%,$0,N,1.15%,1.39%
Franklin Small-Mid Cap Growth Fund Class C (FRSIX),20 years,"$6,287.42",02/14/1992,53.69%,"$1,000",N,1.61%,1.62%
Fidelity® Growth Discovery Fund (FDSVX),20 years,"$3,574.22",03/31/1998,51%,$0,N,0.79%,0.79%
Wasatch Micro Cap Value Fund Institutional Class Shares (WGMVX),20 years,$478.15,07/28/2003,63%,"$100,000",N,1.6%,1.84%
Principal Blue Chip Fund Class C (PBLCX),20 years,"$11,365.98",06/14/2012,25.6%,"$2,500",N,1.67%,1.71%
Fidelity® Select Brokerage and Investment Management Portfolio (FSLBX),20 years,$941.04,07/29/1985,0%,$0,N,0.76%,0.76%
Wells Fargo Omega Growth Fund - Class Inst (EKONX),20 years,"$1,229.06",04/29/1968,24%,"$1,000,000",N,0.85%,0.95%
Morgan Stanley Europe Opportunity Fund Inc. Class I (EUGDX),20 years,$399.73,07/28/1997,85%,"$5,000,000",N,1.05%,1.4%
Alger Focus Equity Fund Class I (ALGRX),20 years,"$1,628.84",11/08/1993,99.52%,"$2,500",N,0.93%,0.93%
BNY Mellon Small/Mid Cap Growth Fund Class A (DBMAX),20 years,"$5,239.23",01/04/1988,55.49%,"$2,500",Y,0.96%,0.96%
Edgewood Growth Fund Retail Class (EGFFX),20 years,"$33,792.43",02/28/2006,24%,"$3,000",N,1.4%,1.44%
The Hartford Growth Opportunities Fund Class A (HGOAX),20 years,"$8,086.20",02/19/2002,118%,"$2,500",Y,1.1%,1.1%
Segall Bryant & Hamill Small Cap Growth Fund Retail Class (WTSGX),20 years,$235.82,12/20/2013,54%,"$2,500",N,1.04%,1.04%
Wells Fargo Fundamental Small Cap Growth Fund - Class Inst (EGRYX),20 years,$196.79,06/05/1995,55%,"$1,000,000",N,0.9%,1.14%
Alger Focus Equity Fund Class A (ALAFX),20 years,"$1,628.84",11/08/1993,99.52%,"$2,500",Y,0.95%,0.95%
T. Rowe Price All-Cap Opportunities Fund (PRWAX),20 years,"$9,165.54",09/30/1985,85.8%,"$2,500",N,0.77%,0.77%
Wasatch Micro Cap Value Fund (WAMVX),20 years,$478.15,07/28/2003,63%,"$2,500",N,1.74%,1.74%
Grandeur Peak Global Stalwarts Fund Investor Class (GGSOX),20 years,$472.68,09/01/2015,50%,"$2,500",N,1.21%,1.21%
Invesco Discovery Mid Cap Growth Fund A (OEGAX),20 years,"$8,363.10",11/01/2000,131%,"$1,000",Y,1.05%,1.05%
JPMorgan Mid Cap Growth Fund Class I (HLGEX),20 years,"$9,824.93",03/02/1989,63%,"$1,000,000",N,0.89%,0.99%
HCM Tactical Growth Fund Investor Class (HCMDX),20 years,"$1,194.20",07/30/2014,23%,"$2,500",N,2.97%,2.97%
ProFunds NASDAQ-100 Fund Investor Class (OTPIX),20 years,$167.44,08/07/2000,39%,"$15,000",N,1.56%,1.56%
BlackRock Mid-Cap Growth Equity Portfolio Investor A Shares (BMGAX),20 years,"$19,529.95",12/27/1996,22%,"$1,000",Y,1.05%,1.09%
BlackRock Mid-Cap Growth Equity Portfolio Service Shares (CMGSX),20 years,"$19,529.95",12/27/1996,22%,"$5,000",N,1.05%,1.1%
Nuveen Winslow Large-Cap Growth ESG Fund Class A (NWCAX),20 years,$929.89,05/15/2009,67%,"$3,000",Y,0.9%,1.2%
Wells Fargo Endeavor Select Fund - Class C (WECCX),20 years,$315.52,12/29/2000,21%,"$1,000",N,1.78%,2.01%
Wells Fargo Growth Fund - Class Inst (SGRNX),20 years,"$6,304.66",02/24/2000,36%,"$1,000,000",N,0.75%,0.84%
Rydex NASDAQ-100® Fund Class C (RYCOX),20 years,"$1,950.43",02/14/1994,57%,"$2,500",N,2.33%,2.33%
DWS Large Cap Focus Growth Fund - Class Inst (SGGIX),20 years,$418.21,05/15/1991,20%,"$1,000,000",N,0.84%,0.86%
Wells Fargo Omega Growth Fund - Class Admin (EOMYX),20 years,"$1,229.06",04/29/1968,24%,$0,N,1.1%,1.2%
Congress Mid Cap Growth Fund Institutional Class (IMIDX),20 years,"$1,745.97",10/31/2012,27%,"$100,000",N,0.8%,0.8%
Hood River Small-Cap Growth Fund Class Institutional (HRSMX),20 years,"$1,272.95",01/02/2003,119%,"$25,000",N,1.08%,1.1%
Fidelity® Nasdaq® Composite Index Fund (FNCMX),20 years,"$13,920.04",09/25/2003,9%,$0,N,0.29%,0.35%
Tanaka Growth Fund (TGFRX),20 years,$26.32,12/30/1998,15.08%,"$2,500",N,2.45%,2.7%
Polen Growth Fund Institutional Class (POLIX),20 years,"$13,600.44",09/15/2010,19%,"$100,000",N,0.96%,0.96%
Franklin Growth Opportunities Fund Class A (FGRAX),20 years,"$6,416.11",06/23/1999,17.54%,"$1,000",Y,0.91%,0.91%
Putnam Small Cap Growth Fund Class A (PNSAX),20 years,$961.79,12/31/1997,70%,"$2,500",Y,1.24%,1.24%
Morgan Stanley Europe Opportunity Fund Inc. Class A (EUGAX),20 years,$399.73,07/28/1997,85%,"$2,500",Y,1.38%,1.61%
Goldman Sachs Small/Mid Cap Growth Fund Class C (GSMGX),20 years,"$3,649.20",06/30/2005,76%,"$1,000",N,2.01%,2.06%
MainStay Winslow Large Cap Growth Fund Class I (MLAIX),20 years,"$16,662.64",07/03/1995,44%,"$1,000,000",N,0.72%,0.72%
Virtus AllianzGI Focused Growth Fund Class C (PGWCX),20 years,"$1,508.82",02/24/1984,63%,"$2,500",N,1.69%,1.69%
Wells Fargo Growth Fund - Class Admin (SGRKX),20 years,"$6,304.66",02/24/2000,36%,$0,N,0.96%,1.09%
Congress Small Cap Growth Fund Institutional Class (CSMCX),20 years,$215.77,12/09/1999,44%,"$100,000",N,1%,1.24%
USAA Science & Technology Fund (USSCX),20 years,"$1,962.48",08/01/1997,43%,"$3,000",N,1.04%,1.04%
Wells Fargo Fundamental Small Cap Growth Fund - Class A (EGWAX),20 years,$196.79,06/05/1995,55%,"$1,000",Y,1.23%,1.47%
Putnam Sustainable Future Fund Class A (PMVAX),20 years,$673.84,11/01/1999,43%,"$2,500",Y,1.02%,1.02%
JPMorgan Mid Cap Growth Fund Class A (OSGIX),20 years,"$9,824.93",03/02/1989,63%,"$1,000",Y,1.14%,1.26%
Fidelity® Large Cap Growth Index Fund (FSPGX),20 years,"$9,543.25",06/07/2016,21%,$0,N,0.035%,0.035%
Wells Fargo Omega Growth Fund - Class A (EKOAX),20 years,"$1,229.06",04/29/1968,24%,"$1,000",Y,1.28%,1.28%
Calvert US Large Cap Growth Responsible Index Fund Class I (CGJIX),20 years,$289.69,06/19/2015,53%,"$100,000",N,0.24%,0.42%
Schwab ® U.S. Large-Cap Growth Index Fund (SWLGX),20 years,$881.39,12/20/2017,41%,"$2,500",N,0.035%,0.035%
TIAA-CREF Large-Cap Growth Index Fund Institutional Class (TILIX),20 years,"$13,034.98",10/01/2002,33%,"$9,999,999.99",N,0.05%,0.05%
DWS Large Cap Focus Growth Fund - Class A (SGGAX),20 years,$418.21,05/15/1991,20%,"$2,500",Y,1.09%,1.18%
Hood River Small-Cap Growth Fund Investor Shares (HRSRX),20 years,"$1,272.95",01/02/2003,119%,"$2,500",N,1.26%,1.28%
Wells Fargo Discovery Fund - Class Inst (WFDSX),20 years,"$3,088.39",04/08/2005,53%,"$1,000,000",N,0.88%,0.88%
Congress Mid Cap Growth Fund Retail Class (CMIDX),20 years,"$1,745.97",10/31/2012,27%,"$2,500",N,1.05%,1.05%
Matthews Emerging Markets Small Companies Fund Institutional Class Shares (MISMX),20 years,$407.45,09/15/2008,111.87%,"$100,000",N,1.15%,1.53%
Columbia Select Large Cap Growth Fund Class A (ELGAX),20 years,"$2,245.65",10/01/1997,31%,"$2,500",Y,1.07%,1.1%
Polen Growth Fund Investor Class (POLRX),20 years,"$13,600.44",09/15/2010,19%,"$3,000",N,1.21%,1.21%
Wells Fargo Growth Fund - Class A (SGRAX),20 years,"$6,304.66",02/24/2000,36%,"$1,000",Y,1.16%,1.17%
MainStay Winslow Large Cap Growth Fund Class A (MLAAX),20 years,"$16,662.64",07/03/1995,44%,"$2,500",Y,0.97%,0.97%
BlackRock Large Cap Focus Growth Fund Institutional Shares (MAFOX),20 years,"$2,245.87",03/03/2000,47%,"$2,000,000",N,0.67%,0.75%
Franklin Gold and Precious Metals Fund Class C (FRGOX),20 years,"$1,297.82",05/19/1969,18.91%,"$1,000",N,1.68%,1.68%
Eventide Gilead Class C (ETCGX),20 years,"$5,599.90",07/08/2008,19%,"$2,500",N,2.18%,2.18%
Congress Small Cap Growth Fund Retail Class (CSMVX),20 years,$215.77,12/09/1999,44%,"$2,500",N,1.25%,1.49%
MFS Technology Fund Class I (MTCIX),20 years,"$2,330.31",01/02/1997,36%,$0,N,0.92%,0.92%
USAA Science & Technology Fund Class A (USTCX),20 years,"$1,962.48",08/01/1997,43%,"$2,500",Y,1.33%,1.33%
Calvert US Large Cap Growth Responsible Index Fund Class A (CGJAX),20 years,$289.69,06/19/2015,53%,"$5,000",Y,0.49%,0.67%
Matthews Emerging Markets Small Companies Fund Investor Class Shares (MSMLX),20 years,$407.45,09/15/2008,111.87%,"$2,500",N,1.4%,1.67%
Thrivent Large Cap Growth Fund Class S (THLCX),20 years,"$2,279.34",10/29/1999,44%,"$2,500",N,0.77%,0.77%
Wells Fargo Discovery Fund - Class Admin (WFDDX),20 years,"$3,088.39",04/08/2005,53%,$0,N,1.13%,1.13%
Virtus KAR Capital Growth Fund Class C (SSTFX),20 years,$850.68,10/16/1995,4%,"$2,500",N,2%,2%
The Hartford Growth Opportunities Fund Class C (HGOCX),20 years,"$8,086.20",02/19/2002,118%,"$2,500",N,1.85%,1.85%
BNY Mellon Small/Mid Cap Growth Fund Class C (DBMCX),20 years,"$5,239.23",01/04/1988,55.49%,"$2,500",N,1.73%,1.73%
Wells Fargo Discovery Fund - Class A (WFDAX),20 years,"$3,088.39",04/08/2005,53%,"$1,000",Y,1.21%,1.21%
Wells Fargo Growth Fund - Class C (WGFCX),20 years,"$6,304.66",02/24/2000,36%,"$1,000",N,1.91%,1.92%
Alger Focus Equity Fund Class C (ALCFX),20 years,"$1,628.84",11/08/1993,99.52%,"$2,500",N,1.71%,1.71%
Invesco Discovery Mid Cap Growth Fund C (OEGCX),20 years,"$8,363.10",11/01/2000,131%,"$1,000",N,1.82%,1.82%
Alger Spectra Fund Class Z (ASPZX),20 years,"$8,998.04",07/28/1969,71.81%,"$500,000",N,1.09%,1.09%
BlackRock Large Cap Focus Growth Fund Investor A Shares (MDFOX),20 years,"$2,245.87",03/03/2000,47%,"$1,000",Y,0.92%,1.01%
MFS Technology Fund Class A (MTCAX),20 years,"$2,330.31",01/02/1997,36%,"$1,000",Y,1.17%,1.17%
American Century Global Small Cap Fund I Class (AGCSX),20 years,$71.22,03/29/2016,204%,"$5,000,000",N,0.92%,0.92%
PGIM Jennison Diversified Growth Fund-Class Z (TBDZX),20 years,$369.54,11/03/1999,153%,"$2,500",N,0.89%,0.89%
BlackRock Mid-Cap Growth Equity Portfolio Investor C Shares (BMGCX),20 years,"$19,529.95",12/27/1996,22%,"$1,000",N,1.8%,1.8%
Polen U.S. Small Company Growth Fund Institutional Class (PBSIX),20 years,$207.68,11/01/2017,40%,"$100,000",N,1.1%,1.34%
Nuveen Winslow Large-Cap Growth ESG Fund Class C (NWCCX),20 years,$929.89,05/15/2009,67%,"$3,000",N,1.65%,1.95%
JPMorgan Mid Cap Growth Fund Class C (OMGCX),20 years,"$9,824.93",03/02/1989,63%,"$1,000",N,1.64%,1.75%
American Century Growth Fund I Class (TWGIX),20 years,"$13,470.30",06/30/1971,33%,"$5,000,000",N,0.75%,0.77%
"Morgan Stanley Institutional Fund, Inc. Global Opportunity Portfolio Class I (MGGIX)",20 years,"$7,753.51",05/30/2008,22%,"$5,000,000",N,0.93%,0.93%
Neuberger Berman Guardian Fund Class Institutional (NGDLX),20 years,"$2,123.86",06/01/1950,28%,"$1,000,000",N,0.7%,0.7%
Goldman Sachs Strategic Growth Fund Class A (GGRAX),20 years,$226.18,05/24/1999,39%,"$1,000",Y,1.12%,1.35%
Putnam Growth Opportunities Fund Class A (POGAX),20 years,"$10,130.82",10/02/1995,49%,"$2,500",Y,1.05%,1.05%
Invesco Global Focus Fund Class A (GLVAX),20 years,"$1,033.62",10/01/2007,43%,"$1,000",Y,1.26%,1.26%
ClearBridge Sustainability Leaders Fund Class I (LCISX),20 years,$80.85,03/31/2015,58%,"$1,000,000",N,0.85%,2.01%
AB Small Cap Growth Portfolio Class A (QUASX),20 years,"$6,050.91",02/12/1969,74%,"$2,500",Y,1.09%,1.09%
Alger Capital Appreciation Fund Class Z (ACAZX),20 years,"$3,422.97",12/31/1996,89.91%,"$500,000",N,0.84%,0.84%
ABR 50/50 Volatility Fund Institutional Shares (ABRSX),20 years,$108.24,10/02/2017,"1,782%","$100,000",N,2.5%,3.7%
Alger Capital Appreciation Institutional Fund Class Z-2 (ACIZX),20 years,"$4,192.01",11/08/1993,83.95%,"$2,500",N,0.82%,0.82%
BlackRock Capital Appreciation Fund Institutional Shares (MAFGX),20 years,"$5,035.14",12/31/1997,25%,"$2,000,000",N,0.72%,0.72%
Franklin Growth Opportunities Fund Class C (FKACX),20 years,"$6,416.11",06/23/1999,17.54%,"$1,000",N,1.66%,1.66%
Wells Fargo Omega Growth Fund - Class C (EKOCX),20 years,"$1,229.06",04/29/1968,24%,"$1,000",N,2.03%,2.03%
Putnam Small Cap Growth Fund Class C (PNSCX),20 years,$961.79,12/31/1997,70%,"$2,500",N,1.99%,1.99%
Thrivent Large Cap Growth Fund Class A (AAAGX),20 years,"$2,279.34",10/29/1999,44%,"$2,500",Y,1.08%,1.12%
PGIM Jennison Diversified Growth Fund-Class A (TBDAX),20 years,$369.54,11/03/1999,153%,"$2,500",Y,1.16%,1.21%
Wells Fargo Fundamental Small Cap Growth Fund - Class C (EGWCX),20 years,$196.79,06/05/1995,55%,"$1,000",N,1.98%,2.22%
Brown Advisory Growth Equity Fund Investor Shares (BIAGX),20 years,"$3,773.63",06/28/1999,25%,"$2,500",N,0.84%,0.84%
Invesco Technology Fund Class A (ITYAX),20 years,"$1,884.02",01/19/1984,59%,"$1,000",Y,1.1%,1.1%
American Century Growth Fund Investor Class (TWCGX),20 years,"$13,470.30",06/30/1971,33%,"$2,500",N,0.95%,0.97%
Polen U.S. Small Company Growth Fund Investor Class (PBSRX),20 years,$207.68,11/01/2017,40%,"$3,000",N,1.35%,1.59%
Putnam Sustainable Future Fund Class C (PMPCX),20 years,$673.84,11/01/1999,43%,"$2,500",N,1.77%,1.77%
Alger Spectra Fund Class A (SPECX),20 years,"$8,998.04",07/28/1969,71.81%,"$2,500",Y,1.4%,1.4%
Vanguard International Growth Fund Investor Shares (VWIGX),20 years,"$71,736.04",09/30/1981,25%,"$3,000",N,0.44%,0.44%
State Street Institutional Premier Growth Equity Fund Investment Class (SSPGX),20 years,$101.16,10/29/1999,28%,"$5,000,000",N,0.46%,0.46%
MFS New Discovery Fund Class I (MNDIX),20 years,"$3,426.09",01/02/1997,71%,$0,N,1.03%,1.03%
Oberweis Global Opportunities Fund Institutional Class (OBGIX),20 years,$78.77,01/07/1987,129%,"$1,000,000",N,1.28%,1.28%
DWS Large Cap Focus Growth Fund - Class C (SGGCX),20 years,$418.21,05/15/1991,20%,"$2,500",N,1.84%,1.93%
"Morgan Stanley Institutional Fund, Inc. Global Opportunity Portfolio Class A (MGGPX)",20 years,"$7,753.51",05/30/2008,22%,"$2,500",Y,1.21%,1.21%
Transamerica US Growth Class I (TDEIX),20 years,"$2,217.22",11/13/2009,28%,"$1,000,000",N,0.81%,0.81%
Columbia Large Cap Growth Fund Class A (LEGAX),20 years,"$5,842.41",12/14/1990,52%,"$2,500",Y,1.03%,1.03%
Eaton Vance-Atlanta Capital Focused Growth Fund Class I (EILGX),20 years,$564.18,04/30/2002,23%,"$2,500",N,0.8%,0.85%
ABR 50/50 Volatility Fund Investor Shares (ABRJX),20 years,$108.24,10/11/2017,"1,782%","$5,000",N,2.75%,6.53%
DWS Capital Growth Fund - Class Institutional (SDGTX),20 years,"$2,434.83",07/14/2000,12%,"$1,000,000",N,0.69%,0.7%
Columbia Select Large Cap Growth Fund Class C (ELGCX),20 years,"$2,245.65",10/01/1997,31%,"$2,500",N,1.82%,1.85%
BlackRock Capital Appreciation Fund Investor A Shares (MDFGX),20 years,"$5,035.14",12/31/1997,25%,"$1,000",Y,0.97%,0.97%
Delaware Ivy Science and Technology Fund Class A (WSTAX),20 years,"$9,849.10",07/31/1997,9%,"$2,500",Y,1.14%,1.14%
Principal LargeCap Growth Fund I Institutional Class (PLGIX),20 years,"$14,849.04",12/06/2000,33.6%,"$1,000,000",N,0.68%,0.7%
Alger Capital Appreciation Fund Class A (ACAAX),20 years,"$3,422.97",12/31/1996,89.91%,"$2,500",Y,1.17%,1.17%
Federated Hermes MDT Large Cap Growth Fund Institutional Shares (QILGX),20 years,$211.30,09/15/2005,39%,"$25,000",N,0.75%,1.12%
Neuberger Berman Guardian Fund Class A (NGDAX),20 years,"$2,123.86",06/01/1950,28%,"$2,500",Y,1.08%,1.08%
Alger Capital Appreciation Institutional Fund Class I (ALARX),20 years,"$4,192.01",11/08/1993,83.95%,"$2,500",N,1.13%,1.13%
Brown Advisory Growth Equity Fund Advisor Shares (BAGAX),20 years,"$3,773.63",06/28/1999,25%,"$2,500",N,1.09%,1.09%
Virtus KAR Small-Mid Cap Core Fund Class I (VKSIX),20 years,"$1,365.65",03/07/2018,31%,"$100,000",N,1.06%,1.1%
American Century Growth Fund A Class (TCRAX),20 years,"$13,470.30",06/30/1971,33%,$250,Y,1.2%,1.22%
Columbia Large Cap Growth Opportunity Fund Class A (NFEAX),20 years,"$2,022.79",12/31/1997,44%,"$2,500",Y,1.05%,1.11%
John Hancock U.S. Global Leaders Growth Fund Class I (USLIX),20 years,"$2,827.43",09/29/1995,50%,"$250,000",N,0.9%,0.91%
